,區域別,合計_65~69歲,合計_70~74歲,合計_75~79歲,合計_80~84歲,合計_85~89歲,合計_90~94歲,合計_95~99歲,100歲以上,65歲以上總和
3,松山區,13261,11797,7013,4934,2832,1553,571,127,42088
6,信義區,15274,13264,7389,5512,2968,1564,519,117,46607
9,大安區,20003,18375,10803,8033,4779,2730,919,180,65822
12,中山區,16203,13388,7074,5199,3114,1544,431,63,47016
15,中正區,9705,8549,4831,3645,2336,1173,370,93,30702
18,大同區,8525,7030,3708,3106,1827,729,190,39,25154
21,萬華區,13265,11031,6003,5039,2835,1485,389,78,40125
24,文山區,17163,13499,7397,5521,3080,1731,566,110,49067
27,南港區,7568,6142,3222,2498,1253,635,167,23,21508
30,內湖區,19236,12889,5896,4055,2382,1343,415,61,46277
33,士林區,20337,16442,8726,6736,3767,1857,604,96,58565
36,北投區,17233,13821,7368,5406,2973,1531,470,85,48887
