區域別,醫院名稱,醫院評鑑評鑑結果,教學醫院評鑑結果,醫院評鑑合格效期,教學醫院合格效期,醫院電話,地址,,,,緯度,經度
大同區,臺北市立聯合醫院中興院區,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-25523234,臺北市大同區鄭州路145號,,,,25.0512,121.50942
士林區,臺北市立聯合醫院陽明院區,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,02-28353456,臺北市士林區雨聲街105號,,,,25.1051861,121.5294999
中正區,臺北市立聯合醫院和平婦幼院區及其婦幼院區,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,02-23889595,臺北市中正區中華路二段33號_臺北市中正區福州街12號,,,,25.035587,121.5042136
南港區,臺北市立聯合醫院忠孝院區,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,02-27861288,臺北市南港區同德路87號,,,,25.0466291,121.5832498
大安區,臺北市立聯合醫院仁愛院區,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,02-27093600,臺北市大安區仁愛路四段10號,,,,25.0372057,121.5426493
大安區,國立臺灣大學醫學院附設醫院癌醫中心分院,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,110/1/1-115/12/31,02-23220322,臺北市大安區基隆路3段155巷57號,,,,25.014649,121.5416293
中正區,國立台灣大學醫學院附設醫院,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-23123456,臺北市中正區中山南路7_8號_常德街1號,,,,25.0406266,121.5165461
松山區,三軍總醫院松山分院附設民眾診療服務處,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,02-27642151,臺北市松山區健康路131號,,,,25.05452369,121.5576184
內湖區,三軍總醫院附設民眾診療服務處及其汀州院區,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-87923311,臺北市內湖區成功路二段325號,,,,25.0163956,121.5271644
北投區,臺北榮民總醫院,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-28712121,臺北市北投區石牌路二段201號,,,,25.12025127,121.5201775
萬華區,西園醫療社團法人西園醫院,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-23076968,臺北市萬華區西園路二段266_268_270_272_276號_185_187_189號,,,,25.0277299,121.491805
松山區,長庚醫療財團法人台北長庚紀念醫院,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-27135211,臺北市松山區敦化北路199號,,,,25.055552,121.5470543
松山區,基督復臨安息日會醫療財團法人臺安醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,02-27718151,臺北市松山區八德路二段424_426號,,,,25.0479588,121.5448014
大安區,國泰醫療財團法人國泰綜合醫院,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-27082121,臺北市大安區仁愛路四段266巷6號_280號,,,,25.037117,121.5517451
中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-25433535,臺北市中山區中山北路二段92號,,,,25.05899146,121.5222904
士林區,新光醫療財團法人新光吳火獅紀念醫院,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-28332211,臺北市士林區文昌路95號及士商路51號_51號2樓_51號3樓_51號4樓_51號5樓_51號6樓_51號7樓_53號_55號_57號,,,,25.0964041,121.51758
北投區,振興醫療財團法人振興醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,02-28264400,臺北市北投區振興街45號,,,,25.1167682,121.5200911
北投區,醫療財團法人辜公亮基金會和信治癌中心醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,02-28970011,臺北市北投區立德路125號,,,,25.1293372,121.4718222
信義區,臺北醫學大學附設醫院,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,02-27372181,臺北市信義區吳興街252號_250號,,,,25.0269366,121.5611916
文山區,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-112/12/31,106/1/1-112/12/31,02-29307930,臺北市文山區興隆路三段111號,,,,24.999925,121.5555695
松山區,博仁綜合醫院,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,106/1/1-112/12/31,02-25786677,臺北市松山區光復北路66-68號,,,,25.0499097,121.5576835
